x;Subjet_1_Blue
30,108;-1,0907
45,572;-0,1437
60,645;0,6869
75,625;1,2181
90,566;1,2794
105,606;0,8573
120,049;0,111
135,714;-0,833

x;Subject_2_Orange
30,078;-1,8146
45,065;-1,5196
59,968;-1,2068
75,054;-0,9084
90,128;-0,692
105,201;-0,5948
120,228;-0,6817
135,117;-0,9343

x;Subject_3_DarkGreen
29,989;-0,4317
45,02;-0,2878
60,003;-0,3636
74,997;-0,5321
90,138;-0,6967
105,167;-0,808
120,215;-0,6928
135,061;-0,3077

x;Subject_4_Yellow
29,963;-3,2711
44,942;-3,0173
60,122;-2,6969
75,184;-2,4311
90,077;-2,3723
105,043;-2,5092
120,156;-2,7606
135,167;-2,9433

x;Subject_5_Red
30,09;-2,6945
45,135;-2,2772
60,102;-1,6938
75,112;-1,0507
90,056;-0,4946
105,083;-0,1847
120,099;-0,1867
135,132;-0,6805

x;Subject_6_DarkBlue
30,03;-2,0277
44,983;-1,5706
60,046;-1,0647
75,029;-0,6564
90,094;-0,336
104,939;-0,1868
119,992;-0,244
135,066;-0,4671

x;Subject_7_Green
30,073;-1,5808
45,002;-0,9625
60,241;-0,332
75,037;0,2089
89,909;0,5769
104,987;0,6806
120,033;0,4406
135,073;-0,2364

x;Subject_8_Purple
30,361;-2,0205
45,039;-1,3242
60,039;-0,9434
75,047;-0,7058
90,251;-0,4223
105,062;-0,1863
120,138;-0,06
135,079;-0,0448

x;Subject_9_Beige
29,967;-1,045
45,054;-0,5836
60,124;-0,2402
75,045;-0,0167
89,991;0,1187
104,962;0,1537
120,045;0,1058
135,195;0,0385

x;Subject_10_LightDarkBlue
30,036;-2,2009
44,931;-1,6617
60,052;-1,2334
75,09;-0,8274
90,244;-0,5634
104,927;-0,284
120,082;-0,06
135,1;0,1551

x;Subject_11_DarkRed
30,075;-1,7413
45,051;-1,131
60,093;-0,8204
75,199;-0,7985
90,066;-1,012
105,105;-1,4208
120,203;-1,934
135,163;-2,4472

x;Subject_12_Black
29,994;-3,0858
45,022;-2,8111
60,013;-2,7039
75,16;-2,6954
90,197;-2,6499
105,169;-2,659
120,137;-2,5447
135,234;-2,33
