x;Subjet_1_Blue
29,848;112,658
44,874;113,893
59,868;112,85
74,899;110,251
89,827;106,528
104,964;102,286
119,962;98,447
135,273;95,128

x;Subject_2_Orange
29,814;105,403
44,908;108,812
59,917;110,66
74,928;110,092
89,877;107,582
104,981;103,164
119,977;97,821
135,127;92,622

x;Subject_3_DarkGreen
29,986;99,542
44,978;100,763
60,128;100,066
75,053;98,634
90,048;96,857
104,973;95,454
120,037;94,469
135,279;93,258

x;Subject_4_Yellow
29,887;99,492
44,882;103,238
59,901;105,557
74,91;107,359
89,908;108,844
104,94;109,865
119,983;110,305
135,159;109,928

x;Subject_5_Red
29,893;95,679
44,923;98,786
60,146;101,298
74,93;102,129
89,937;101,232
104,919;99,065
119,984;96,12
135,255;93,53

x;Subject_6_DarkBlue
29,837;96,32
44,888;93,913
60,134;89,721
74,939;84,866
89,936;80,652
104,959;78,313
120,035;77,828
135,19;79,585

x;Subject_7_Green
29,848;98,814
44,889;103,568
59,905;106,183
75,021;107,105
89,875;106,837
104,938;105,563
119,988;103,533
135,162;101,32

x;Subject_8_Purple
29,857;88,479
44,95;93,613
59,934;96,932
74,988;97,762
89,892;96,323
104,928;93,249
120,032;89,794
135,198;88,137

x;Subject_9_Beige
29,842;89,943
44,938;90,89
60,176;90,02
74,928;87,738
89,959;85,312
104,989;83,462
120,017;82,91
135,217;84,231

x;Subject_10_LightDarkBlue
29,875;91,759
44,929;97,952
60,092;101,378
74,911;100,739
89,944;96,987
104,944;90,928
120,049;85,245
135,254;82,444

x;Subject_11_DarkRed
29,879;88,473
44,869;90,919
59,929;92,182
74,958;91,514
89,953;89,694
104,949;87,325
120,049;85,216
135,252;84,26

x;Subject_12_Black
29,963;90,549
44,967;95,603
59,904;98,711
75;99,715
89,923;99,523
105,004;98,668
120,033;97,655
135,184;96,497
