Dataset_Authors,Article_title,Article_Year,Article_Author_year,Article_Journal,In_vivo,Experimental_mean,Number_of_shoulders,Type_of_movement,Active,Posture,Thorax_is_isb,Thorax_is_global,Thorax_is_isb_correctable,Thorax_correction_method,Thorax_origin,Thorax_X,Thorax_Y,Thorax_Z,Humerus_is_isb,Humerus_is_isb_correctable,Humerus_correction_method,Humerus_origin,Humerus_X,Humerus_Y,Humerus_Z,Thoracohumeral_sequence,Thoracohumeral_angle,Thoracohumeral_usable,Thoracohumeral_risk,Clavicle_is_isb,Clavicle_is_isb_correctable,Clavicle_correction_method,Clavicle_origin,Clavicle_X,Clavicle_Y,Clavicle_Z,Scapula_is_isb,Scapula_is_isb_correctable,Scapula_correction_method,Scapula_origin,Scapula_X,Scapula_Y,Scapula_Z,Humeral_motion,Joint,Parent,Child,Euler_sequence,Origin_displacement,Displacement_cs,Displacement_absolute,Displacement_correctable,Displacement_correction_method,Is_data_mean,Shoulder_id,Source_extraction,Folder,Dof_1st_euler,Dof_2nd_euler,Dof_3rd_euler,Dof_translation_x,Dof_translation_y,Dof_translation_z,Dof_translation_norm
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,1,engauged,Bourne 2003,ST_protraction_elevationFrontal_1.csv,ST_medRotation_elevationFrontal_1.csv,ST_tilt_elevationFrontal_1.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,2,engauged,Bourne 2003,ST_protraction_elevationFrontal_2.csv,ST_medRotation_elevationFrontal_2.csv,ST_tilt_elevationFrontal_2.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,3,engauged,Bourne 2003,ST_protraction_elevationFrontal_3.csv,ST_medRotation_elevationFrontal_3.csv,ST_tilt_elevationFrontal_3.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,4,engauged,Bourne 2003,ST_protraction_elevationFrontal_4.csv,ST_medRotation_elevationFrontal_4.csv,ST_tilt_elevationFrontal_4.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,5,engauged,Bourne 2003,ST_protraction_elevationFrontal_5.csv,ST_medRotation_elevationFrontal_5.csv,ST_tilt_elevationFrontal_5.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,6,engauged,Bourne 2003,ST_protraction_elevationFrontal_6.csv,ST_medRotation_elevationFrontal_6.csv,ST_tilt_elevationFrontal_6.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,frontal elevation,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,7,engauged,Bourne 2003,ST_protraction_elevationFrontal_7.csv,ST_medRotation_elevationFrontal_7.csv,ST_tilt_elevationFrontal_7.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,1,engauged,Bourne 2003,ST_protraction_horizontalFlexion_1.csv,ST_medRotation_horizontalFlexion_1.csv,ST_tilt_horizontalFlexion_1.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,2,engauged,Bourne 2003,ST_protraction_horizontalFlexion_2.csv,ST_medRotation_horizontalFlexion_2.csv,ST_tilt_horizontalFlexion_2.csv,nan,nan,nan,nan
Bourne,Accuracy and Reliability of a New Method of Measuring Three-Dimensional Scapular Kinematics,2003,Bourne 2003,Master thesis,true,intra cortical pins,7,dynamic,true,sitting,false,false,false,,IJ,+mediolateral,+posteroanterior,+inferosuperior,false ,true,nan,GH,+mediolateral,+posteroanterior,+inferosuperior,zyz,nan,true,true,nan,nan,nan,nan,nan,nan,nan,false,true,,AA,+mediolateral,+posteroanterior,+inferosuperior,horizontal flexion,scapulothoracic,thorax,scapula,zyx,nan,nan,nan,nan,nan,false,3,engauged,Bourne 2003,ST_protraction_horizontalFlexion_3.csv,ST_medRotation_horizontalFlexion_3.csv,ST_tilt_horizontalFlexion_3.csv,nan,nan,nan,nan
