dataset_id,dataset_authors,dataset_year,dataset_doi,in_vivo,experimental_mean,number_of_shoulders,type_of_movement,active,posture,thorax_is_isb,thorax_is_global,thorax_is_isb_correctable,thorax_correction_method,thorax_origin,thorax_x_sense,thorax_x_direction,thorax_y_sense,thorax_y_direction,thorax_z_sense,thorax_z_direction,humerus_is_isb,humerus_is_isb_correctable,humerus_correction_method,humerus_origin,humerus_x_sense,humerus_x_direction,humerus_y_sense,humerus_y_direction,humerus_z_sense,humerus_z_direction,thoracohumeral_sequence,thoracohumeral_angle,thoracohumeral_usable,thoracohumeral_risk,clavicle_is_isb,clavicle_is_isb_correctable,clavicle_correction_method,clavicle_origin,clavicle_x_sense,clavicle_x_direction,clavicle_y_sense,clavicle_y_direction,clavicle_z_sense,clavicle_z_direction,scapula_is_isb,scapula_is_isb_correctable,scapula_correction_method,scapula_origin,scapula_x_sense,scapula_x_direction,scapula_y_sense,scapula_y_direction,scapula_z_sense,scapula_z_direction,humeral_motion,joint,parent,child,euler_sequence,origin_displacement,displacement_cs,displacement_absolute,displacement_correctable,displacement_correction_method,is_data_mean,shoulder_id,source_extraction,folder,dof_1st_euler,dof_2nd_euler,dof_3rd_euler,dof_translation_x,dof_translation_y,dof_translation_z,dof_translation_norm
#1,Begon et al.,2014,"""10.1109/TBME.2017.2716186; 10.1016/j.clinbiomech.2014.08.006""",True,intra cortical pins,1.0,dynamic,True,standing,False,True,False,,,,,,,,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,True,,,,,,,,,,,True,,,AA,+posteroanterior,,+inferosuperior,,+mediolateral,,frontal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,True,,,False,P1,mat file,Cereatti et al 2017/S2M,GH_elevationPlane_elevationFrontal.csv,GH_elevationAngle_elevationFrontal.csv,GH_internalRotation_elevationFrontal.csv, , , ,
#1,Begon et al.,2014,"""10.1109/TBME.2017.2716186; 10.1016/j.clinbiomech.2014.08.006""",True,intra cortical pins,1.0,dynamic,True,standing,False,True,False,,,,,,,,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,True,,,,,,,,,,,True,,,AA,+posteroanterior,,+inferosuperior,,+mediolateral,,sagittal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,True,,,False,P1,mat file,Cereatti et al 2017/S2M,GH_elevationPlane_elevationSagittal.csv,GH_elevationAngle_elevationSagittal.csv,GH_internalRotation_elevationSagittal.csv, , , ,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,1,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_1.csv,ST_medRotation_elevationFrontal_1.csv,ST_tilt_elevationFrontal_1.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,2,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_2.csv,ST_medRotation_elevationFrontal_2.csv,ST_tilt_elevationFrontal_2.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,3,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_3.csv,ST_medRotation_elevationFrontal_3.csv,ST_tilt_elevationFrontal_3.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,4,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_4.csv,ST_medRotation_elevationFrontal_4.csv,ST_tilt_elevationFrontal_4.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,5,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_5.csv,ST_medRotation_elevationFrontal_5.csv,ST_tilt_elevationFrontal_5.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,6,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_6.csv,ST_medRotation_elevationFrontal_6.csv,ST_tilt_elevationFrontal_6.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,frontal elevation,scapulothoracic,thorax,scapula,zyx,,,,,,False,7,engauged,#2_Bourne_et_al,ST_protraction_elevationFrontal_7.csv,ST_medRotation_elevationFrontal_7.csv,ST_tilt_elevationFrontal_7.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,1,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_1.csv,ST_medRotation_horizontalFlexion_1.csv,ST_tilt_horizontalFlexion_1.csv,,,,
